year,ozone_maximum_8hour_mean
1/1/2000,112
2/1/2000,112
3/1/2000,112
4/1/2000,112
5/1/2000,112
6/1/2000,112
7/1/2000,112
8/1/2000,112
9/1/2000,112
10/1/2000,112
11/1/2000,112
12/1/2000,112
1/1/2001,112
2/1/2001,112
3/1/2001,112
4/1/2001,112
5/1/2001,112
6/1/2001,112
7/1/2001,112
8/1/2001,112
9/1/2001,112
10/1/2001,112
11/1/2001,112
12/1/2001,112
1/1/2002,112
2/1/2002,112
3/1/2002,112
4/1/2002,112
5/1/2002,112
6/1/2002,112
7/1/2002,112
8/1/2002,112
9/1/2002,112
10/1/2002,112
2001,133
2002,131
2003,118
2004,146
2005,159
2006,136
2007,206
2008,183
2009,105
2010,139
2011,123
2012,122
2013,139
2014,135
2015,152
2016,115
2017,191
2018,150
2019,125
2020,145
2021,176
