date,gdp_growth
1/1/2007,0.2
1/4/2007,3.1
1/7/2007,2.7
1/10/2007,1.4
1/1/2008,-2.7
1/4/2008,2
1/7/2008,-1.9
1/10/2008,-8.2
1/1/2009,-5.4
1/4/2009,-0.5
1/7/2009,1.3
1/10/2009,3.9
1/1/2010,1.7
1/4/2010,3.9
1/7/2010,2.7
1/10/2010,2.5
1/1/2011,-1.5
1/4/2011,2.9
1/7/2011,0.8
1/10/2011,4.6
1/1/2012,2.7
1/4/2012,1.9
1/7/2012,0.5
1/10/2012,0.1
1/1/2013,2.8
1/4/2013,0.8
1/7/2013,3.1
1/10/2013,4
1/1/2014,-1.2
1/4/2014,4
1/7/2014,5
1/10/2014,2.3
1/1/2015,2
1/4/2015,2.6
1/7/2015,2
1/10/2015,0.9
1/1/2016,0.8
1/4/2016,1.4
1/7/2016,3.5
1/10/2016,2.1
