date,Los Angeles,New York
1/1/2000,0.008,0.004
1/2/2000,,0.009
1/3/2000,,0.006
1/4/2000,0.005,0.009
1/5/2000,0.005,0.014
1/6/2000,0.0049,0.006
1/7/2000,0.0043,0.014
1/8/2000,0.00545,0.034
1/9/2000,0.0059,0.026
1/10/2000,0.005616667,0.006
1/11/2000,0.005766667,0.01
1/12/2000,0.005916667,0.01
1/13/2000,0.006066667,0.012
1/14/2000,0.006216667,0.019
1/15/2000,0.006366667,
1/16/2000,0.006516667,0.016
1/17/2000,0.006666667,
1/18/2000,0.006816667,
1/19/2000,0.006966667,0.007
1/20/2000,0.007116667,0.006
1/21/2000,0.007266667,0.019
1/22/2000,0.007416667,0.015
1/23/2000,0.007566667,
1/24/2000,0.007716667,0.004
1/25/2000,0.007866667,0.011
1/26/2000,0.008016667,0.013
1/27/2000,0.008166667,0.018
1/28/2000,0.008316667,0.018
1/29/2000,0.008466667,0.012
1/30/2000,0.008616667,0.008
1/31/2000,0.008766667,0.006
2/1/2000,0.008616551,0.012347998
2/2/2000,0.008738092,0.012351164
2/3/2000,0.008859633,0.012354329
2/4/2000,0.008981173,0.012357495
2/5/2000,0.009102714,0.01236066
2/6/2000,0.009224255,0.012363825
2/7/2000,0.009345796,0.012366991
2/8/2000,0.009467337,0.012370156
2/9/2000,0.009588877,0.012373322
2/10/2000,0.009710418,0.012376487
2/11/2000,0.009831959,0.012379653
2/12/2000,0.0099535,0.012382818
2/13/2000,0.01007504,0.012385983
2/14/2000,0.010196581,0.012389149
2/15/2000,0.010318122,0.012392314
2/16/2000,0.010439663,0.01239548
2/17/2000,0.010561204,0.012398645
2/18/2000,0.010682744,0.012401811
2/19/2000,0.010804285,0.012404976
2/20/2000,0.010925826,0.012408141
2/21/2000,0.011047367,0.012411307
2/22/2000,0.011168907,0.012414472
2/23/2000,0.011290448,0.012417638
2/24/2000,0.011411989,0.012420803
2/25/2000,0.01153353,0.012423969
2/26/2000,0.01165507,0.012427134
2/27/2000,0.011776611,0.012430299
2/28/2000,0.011898152,0.012433465
2/29/2000,0.012019693,0.01243663
