date,Ozone
1/1/2000,0.004
1/2/2000,0.009
1/3/2000,0.006
1/4/2000,0.009
1/5/2000,0.014
1/6/2000,0.006
1/7/2000,0.014
1/8/2000,0.034
1/9/2000,0.026
1/10/2000,0.006
1/11/2000,0.01
1/12/2000,0.01
1/13/2000,0.012
1/14/2000,0.019
1/15/2000,
1/16/2000,0.016
1/17/2000,
1/18/2000,
1/19/2000,0.007
1/20/2000,0.006
1/21/2000,0.019
1/22/2000,0.015
1/23/2000,
1/24/2000,0.004
1/25/2000,0.011
1/26/2000,0.013
1/27/2000,0.018
1/28/2000,0.018
1/29/2000,0.012
1/30/2000,0.008
1/31/2000,0.006
2/1/2000,0.012347998
2/2/2000,0.012351164
2/3/2000,0.012354329
2/4/2000,0.012357495
2/5/2000,0.01236066
2/6/2000,0.012363825
2/7/2000,0.012366991
2/8/2000,0.012370156
2/9/2000,0.012373322
2/10/2000,0.012376487
2/11/2000,0.012379653
2/12/2000,0.012382818
2/13/2000,0.012385983
2/14/2000,0.012389149
2/15/2000,0.012392314
2/16/2000,0.01239548
2/17/2000,0.012398645
2/18/2000,0.012401811
2/19/2000,0.012404976
2/20/2000,0.012408141
2/21/2000,0.012411307
2/22/2000,0.012414472
2/23/2000,0.012417638
2/24/2000,0.012420803
2/25/2000,0.012423969
2/26/2000,0.012427134
2/27/2000,0.012430299
2/28/2000,0.012433465
2/29/2000,0.01243663
3/1/2000,0.012439796
3/2/2000,0.012442961
3/3/2000,0.012446127
3/4/2000,0.012449292
3/5/2000,0.012452457
3/6/2000,0.012455623
3/7/2000,0.012458788
3/8/2000,0.012461954
3/9/2000,0.012465119
3/10/2000,0.012468285
3/11/2000,0.01247145
3/12/2000,0.012474615
3/13/2000,0.012477781
3/14/2000,0.012480946
3/15/2000,0.012484112
3/16/2000,0.012487277
3/17/2000,0.012490443
3/18/2000,0.012493608
3/19/2000,0.012496773
3/20/2000,0.012499939
3/21/2000,0.012503104
3/22/2000,0.01250627
3/23/2000,0.012509435
3/24/2000,0.012512601
3/25/2000,0.012515766
3/26/2000,0.012518931
3/27/2000,0.012522097
3/28/2000,0.012525262
3/29/2000,0.012528428
3/30/2000,0.012531593
3/31/2000,0.012534759
4/1/2000,0.012537924
4/2/2000,0.012541089
4/3/2000,0.012544255
4/4/2000,0.01254742
4/5/2000,0.012550586
4/6/2000,0.012553751
4/7/2000,0.012556917
4/8/2000,0.012560082
4/9/2000,0.012563247
4/10/2000,0.012566413
4/11/2000,0.012569578
4/12/2000,0.012572744
4/13/2000,0.012575909
4/14/2000,0.012579075
4/15/2000,0.01258224
4/16/2000,0.012585405
4/17/2000,0.012588571
4/18/2000,0.012591736
4/19/2000,0.012594902
4/20/2000,0.012598067
4/21/2000,0.012601233
4/22/2000,0.012604398
4/23/2000,0.012607563
4/24/2000,0.012610729
4/25/2000,0.012613894
4/26/2000,0.01261706
4/27/2000,0.012620225
4/28/2000,0.012623391
4/29/2000,0.012626556
4/30/2000,0.012629721
5/1/2000,0.012632887
5/2/2000,0.012636052
5/3/2000,0.012639218
5/4/2000,0.012642383
5/5/2000,0.012645549
5/6/2000,0.012648714
5/7/2000,0.012651879
5/8/2000,0.012655045
5/9/2000,0.01265821
5/10/2000,0.012661376
5/11/2000,0.012664541
5/12/2000,0.012667707
5/13/2000,0.012670872
5/14/2000,0.012674037
5/15/2000,0.012677203
5/16/2000,0.012680368
5/17/2000,0.012683534
5/18/2000,0.012686699
5/19/2000,0.012689865
5/20/2000,0.01269303
5/21/2000,0.012696195
5/22/2000,0.012699361
5/23/2000,0.012702526
5/24/2000,0.012705692
5/25/2000,0.012708857
5/26/2000,0.012712023
5/27/2000,0.012715188
5/28/2000,0.012718353
5/29/2000,0.012721519
5/30/2000,0.012724684
5/31/2000,0.01272785
6/1/2000,0.012731015
6/2/2000,0.012734181
6/3/2000,0.012737346
6/4/2000,0.012740511
6/5/2000,0.012743677
6/6/2000,0.012746842
6/7/2000,0.012750008
6/8/2000,0.012753173
6/9/2000,0.012756339
6/10/2000,0.012759504
6/11/2000,0.012762669
