date,AAPL,AMGN,AMZN,CPRT,EL,GS,ILMN,MA,PAA,RIO,TEF,UPS
01-01-00,30.57,57.72,133.9,4.55,24.27,159.58,31.55,25.68,27,56.03,28.55,58.18
02-01-00,30.63,57.22,134.69,4.55,24.18,160.3,31.85,25.61,27.3,56.9,28.53,58.28
03-01-00,30.14,56.79,132.25,4.53,24.25,157.81,31.82,25.56,27.29,58.64,28.23,57.85
04-01-00,30.08,56.27,130,4.5,24.56,155.39,31.46,25.39,26.96,58.65,27.75,57.41
05-01-00,30.28,56.77,133.52,4.52,24.66,133.52,31.57,,27.05,59.3,27.57,60.17
06-01-00,30.001,56.099,131.237,4.497,24.732,156.567,31.545,25.33,27.048,60.391,27.304,59.311
07-01-00,29.888,55.814,130.692,4.486,24.848,155.93,31.51,25.238,27.024,61.22,27.03,59.622
08-01-00,29.775,55.529,130.147,4.475,24.964,155.293,31.475,25.146,27,62.049,26.756,59.933
09-01-00,29.662,55.244,129.602,4.464,25.08,154.656,31.44,25.054,26.976,62.878,26.482,60.244
10-01-00,29.549,54.959,129.057,4.453,25.196,129.057,31.405,,26.952,63.707,26.208,60.555
11-01-00,29.436,54.674,128.512,4.442,25.312,153.474,31.37,24.962,26.928,64.536,25.934,60.866
12-01-00,29.323,54.389,127.967,4.431,25.428,152.837,31.335,24.87,26.904,65.365,25.66,61.177
13-01-00,29.21,54.104,127.422,4.42,25.544,152.2,31.3,24.778,26.88,66.194,25.386,61.488
14-01-00,29.097,53.819,126.877,4.409,25.66,151.563,31.265,24.686,26.856,67.023,25.112,61.799
15-01-00,28.984,53.534,126.332,4.398,25.776,126.332,31.23,,26.832,67.852,24.838,62.11
16-01-00,28.871,53.249,125.787,4.387,25.892,150.381,31.195,24.594,26.808,68.681,24.564,62.421
17-01-00,28.758,52.964,125.242,4.376,26.008,149.744,31.16,24.502,26.784,69.51,24.29,62.732
18-01-00,28.645,52.679,124.697,4.365,26.124,149.107,31.125,24.41,26.76,70.339,24.016,63.043
19-01-00,28.532,52.394,124.152,4.354,26.24,148.47,31.09,24.318,26.736,71.168,23.742,63.354
20-01-00,28.419,52.109,123.607,4.343,26.356,123.607,31.055,,26.712,71.997,23.468,63.665
21-01-00,28.306,51.824,123.062,4.332,26.472,147.288,31.02,24.226,26.688,72.826,23.194,63.976
22-01-00,28.193,51.539,122.517,4.321,26.588,146.651,30.985,24.134,26.664,73.655,22.92,64.287
23-01-00,28.08,51.254,121.972,4.31,26.704,146.014,30.95,24.042,26.64,74.484,22.646,64.598
24-01-00,27.967,50.969,121.427,4.299,26.82,145.377,30.915,23.95,26.616,75.313,22.372,64.909
25-01-00,27.854,50.684,120.882,4.288,26.936,120.882,30.88,,26.592,76.142,22.098,65.22
26-01-00,27.741,50.399,120.337,4.277,27.052,144.195,30.845,23.858,26.568,76.971,21.824,65.531
27-01-00,27.628,50.114,119.792,4.266,27.168,143.558,30.81,23.766,26.544,77.8,21.55,65.842
28-01-00,27.515,49.829,119.247,4.255,27.284,142.921,30.775,23.674,26.52,78.629,21.276,66.153
29-01-00,27.402,49.544,118.702,4.244,27.4,142.284,30.74,23.582,26.496,79.458,21.002,66.464
30-01-00,27.289,49.259,118.157,4.233,27.516,118.157,30.705,,26.472,80.287,20.728,66.775
31-01-00,27.176,48.974,117.612,4.222,27.632,141.1433483,30.67,23.53134831,26.448,81.116,20.454,67.086
01-02-00,27.063,48.689,117.067,4.211,27.748,140.5244382,30.635,23.4574382,26.424,81.945,20.18,67.397
02-02-00,26.95,48.404,116.522,4.2,27.864,139.9055281,30.6,23.38352809,26.4,82.774,19.906,67.708
03-02-00,26.837,48.119,115.977,4.189,27.98,139.286618,30.565,23.30961798,26.376,83.603,19.632,68.019
04-02-00,26.724,47.834,115.432,4.178,28.096,138.6677079,30.53,23.23570787,26.352,84.432,19.358,68.33
05-02-00,26.611,47.549,114.887,4.167,28.212,138.0487978,30.495,23.16179775,26.328,85.261,19.084,68.641
06-02-00,26.498,47.264,114.342,4.156,28.328,137.4504881,30.46,23.10848808,26.304,86.09,18.81,68.952
07-02-00,26.385,46.979,113.797,4.145,28.444,136.8397953,30.425,23.04279528,26.28,86.919,18.536,69.263
08-02-00,26.272,46.694,113.252,4.134,28.56,136.2291025,30.39,22.97710247,26.256,87.748,18.262,69.574
09-02-00,26.159,46.409,112.707,4.123,28.676,135.6184097,30.355,22.91140967,26.232,88.577,17.988,69.885
10-02-00,26.046,46.124,112.162,4.112,28.792,135.0077169,30.32,22.84571686,26.208,89.406,17.714,70.196
11-02-00,25.933,45.839,111.617,4.101,28.908,134.3970241,30.285,22.78002406,26.184,90.235,17.44,70.507
12-02-00,25.82,45.554,111.072,4.09,29.024,133.7863313,30.25,22.71433125,26.16,91.064,17.166,70.818
13-02-00,25.707,45.269,110.527,4.079,29.14,133.1756384,30.215,22.64863845,26.136,91.893,16.892,71.129
14-02-00,25.594,44.984,109.982,4.068,29.256,132.5649456,30.18,22.58294564,26.112,92.722,16.618,71.44
15-02-00,25.481,44.699,109.437,4.057,29.372,131.9542528,30.145,22.51725284,26.088,93.551,16.344,71.751
16-02-00,25.368,44.414,108.892,4.046,29.488,131.34356,30.11,22.45156003,26.064,94.38,16.07,72.062
17-02-00,25.255,44.129,108.347,4.035,29.604,130.7328672,30.075,22.38586723,26.04,95.209,15.796,72.373
18-02-00,25.142,43.844,107.802,4.024,29.72,130.1221744,30.04,22.32017442,26.016,96.038,15.522,72.684
19-02-00,25.029,43.559,107.257,4.013,29.836,129.5114816,30.005,22.25448162,25.992,96.867,15.248,72.995
20-02-00,24.916,43.274,106.712,4.002,29.952,128.9007888,29.97,22.18878881,25.968,97.696,14.974,73.306
21-02-00,24.803,42.989,106.167,3.991,30.068,128.290096,29.935,22.12309601,25.944,98.525,14.7,73.617
22-02-00,24.69,42.704,105.622,3.98,30.184,127.6794032,29.9,22.0574032,25.92,99.354,14.426,73.928
23-02-00,24.577,42.419,105.077,3.969,30.3,127.0687104,29.865,21.9917104,25.896,100.183,14.152,74.239
24-02-00,24.464,42.134,104.532,3.958,30.416,126.4580176,29.83,21.92601759,25.872,101.012,13.878,74.55
25-02-00,24.351,41.849,103.987,3.947,30.532,125.8473248,29.795,21.86032479,25.848,101.841,13.604,74.861
